BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-2.35513,-1.25103,-1.02963,-0.349959,-2.39458,-1.37616,-2.6428,0.0388906,0.0722102,0.0811828,6.61684,0.198924,0.140731,106000,88
-2.41009,-1.34552,-1.13904,-0.300181,-2.1539,-1.33414,-2.38031,0.0333482,0.0770829,0.0699411,6.57884,0.196111,0.139373,107000,89
-2.26304,-1.18928,-1.02509,-0.473822,-2.42151,-1.38254,-2.34305,0.0368176,0.0641308,0.0929007,6.6942,0.203039,0.139149,108000,90
-2.34662,-1.18284,-1.01336,-0.448369,-2.41647,-1.3903,-2.70668,0.0382994,0.0737754,0.0864353,6.68907,0.202274,0.140083,109000,91
-2.34256,-1.41684,-1.21751,-0.287142,-1.98108,-1.30586,-3.33917,0.0321708,0.0680386,0.0755753,6.78543,0.200331,0.140984,110000,92
-2.40846,-1.35264,-1.15872,-0.289718,-2.07906,-1.27885,-3.83954,0.0343249,0.065581,0.0631777,6.63439,0.197078,0.139603,111000,93
-2.18688,-1.22666,-0.983185,-0.411683,-2.38586,-1.35832,-3.99368,0.0326077,0.0724588,0.062061,6.60623,0.196274,0.141869,112000,94
-2.2617,-1.32534,-1.11468,-0.264517,-2.21706,-1.25423,-4.4285,0.030055,0.0774965,0.0600698,6.61519,0.199979,0.139962,113000,95
-2.40881,-1.466,-1.26103,-0.247034,-1.83595,-1.32684,-4.45727,0.0323969,0.0786474,0.0749363,6.59455,0.198972,0.141007,114000,96
-2.47854,-1.4614,-1.26575,-0.234179,-1.90507,-1.26189,-4.30627,0.0333459,0.0740566,0.0672169,6.66001,0.200254,0.140914,115000,97
-2.31706,-1.46717,-1.26974,-0.194284,-1.98385,-1.2325,-4.67145,0.0368838,0.0629981,0.0792999,6.69691,0.198548,0.140864,116000,98
-2.26075,-1.44067,-1.25665,-0.30021,-1.90103,-1.32931,-4.65248,0.0292538,0.0716796,0.0716249,6.7253,0.20485,0.140203,117000,99
-2.30874,-1.21576,-1.01745,-0.373001,-2.43119,-1.33966,-4.22383,0.0330204,0.0774287,0.0781589,6.78495,0.200335,0.138681,118000,100
-2.32735,-1.28773,-1.08461,-0.348745,-2.20065,-1.35217,-3.88078,0.0316092,0.0694129,0.0573722,6.73975,0.199345,0.138682,119000,101
-2.356,-1.3721,-1.13368,-0.32224,-2.03425,-1.34562,-3.75429,0.0328279,0.0702249,0.0555991,6.65057,0.197069,0.136452,120000,112
-2.27533,-1.16685,-0.962521,-0.453562,-2.44921,-1.35247,-3.80162,0.0361015,0.0666906,0.0657409,6.59611,0.199063,0.138723,121000,113
-2.32093,-1.12095,-0.910835,-0.515216,-2.50407,-1.38305,-4.18747,0.0348372,0.0736829,0.0653868,6.7479,0.201532,0.13866,122000,114
