BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-1.76026,-0.963863,-0.853383,-0.629339,-1.99909,-0.814894,0.0784952,6.58853,0.207661,0.162124,96000,89
-1.73609,-0.93182,-0.745652,-0.672442,-2.12265,-0.950169,0.0803137,6.68359,0.20773,0.159737,97000,91
-1.77285,-0.880886,-0.761373,-0.697423,-2.13813,-0.902629,0.0786899,6.68348,0.209783,0.160986,98000,92
-1.81442,-0.855405,-0.757417,-0.757579,-2.06835,-1.00934,0.0801286,6.62089,0.211736,0.160302,99000,93
-1.91075,-1.12561,-0.972566,-0.544726,-1.7365,-0.840849,0.0780874,6.59495,0.212056,0.162437,100000,94
-1.73131,-0.826496,-0.71319,-0.868084,-2.18156,-0.943903,0.0867536,6.6883,0.208109,0.158917,101000,95
-1.75581,-0.907823,-0.751415,-0.656345,-2.12822,-0.904797,0.0750605,6.73584,0.208403,0.162636,102000,97
-1.69287,-0.837905,-0.708299,-0.689148,-2.29558,-0.91635,0.0834333,6.58569,0.208648,0.16226,103000,98
-1.73676,-0.915192,-0.764826,-0.615861,-2.14718,-0.863027,0.0814825,6.59425,0.209606,0.162298,104000,99
-1.78412,-0.999637,-0.863987,-0.578669,-1.96326,-0.855785,0.0742644,6.66248,0.207481,0.163053,105000,100
-1.81977,-1.06186,-0.948386,-0.497089,-1.89873,-0.745333,0.0729659,6.62846,0.20755,0.159047,106000,102
-1.79679,-0.928476,-0.771323,-0.672772,-2.08487,-0.924788,0.0807684,6.72409,0.211071,0.161616,107000,103
-1.78563,-0.900246,-0.791369,-0.701683,-2.07438,-0.941499,0.0719852,6.72912,0.207595,0.159727,108000,104
-1.88309,-1.01943,-0.901087,-0.617963,-1.82251,-0.896195,0.0816467,6.64442,0.204122,0.162123,109000,105
-2.01383,-1.07391,-0.962426,-0.556959,-1.83457,-0.822089,0.0847505,6.66431,0.206398,0.159324,110000,106
-1.90823,-0.97019,-0.846856,-0.659025,-1.93981,-0.91854,0.0809248,6.82154,0.208319,0.159594,111000,108
-1.94142,-0.993496,-0.896708,-0.617126,-1.96108,-0.922701,0.0867886,6.69579,0.20733,0.157822,112000,109
-2.03637,-1.21004,-1.08911,-0.488852,-1.49655,-0.868871,0.076223,6.7514,0.206223,0.159205,113000,110
-1.93893,-1.20227,-1.08001,-0.484498,-1.59942,-0.815973,0.0731085,6.69804,0.203338,0.156604,114000,111
-1.95445,-1.144,-1.05001,-0.53499,-1.62937,-0.883857,0.0764546,6.64777,0.20437,0.157944,115000,112
-1.65443,-1.04021,-0.923566,-0.57306,-1.9039,-0.882542,0.070783,6.70633,0.207457,0.15792,116000,114
-1.78144,-1.06681,-0.929793,-0.533286,-1.88771,-0.86764,0.0743503,6.70022,0.206293,0.157876,117000,115
-1.76714,-1.0334,-0.894382,-0.531613,-2.01526,-0.864827,0.081575,6.71747,0.205465,0.156284,118000,116
-1.92075,-1.15151,-1.02957,-0.532614,-1.64695,-0.839115,0.074084,6.62284,0.200679,0.155604,119000,116
-1.94457,-1.20803,-1.10144,-0.477877,-1.55645,-0.808911,0.0776226,6.67953,0.20276,0.155726,120000,121
-2.09537,-1.4046,-1.27841,-0.443609,-1.08981,-0.745019,0.0695405,6.65675,0.203259,0.156885,121000,125
-2.05004,-1.35589,-1.19395,-0.518781,-1.2037,-0.752773,0.0681274,6.70726,0.203413,0.154066,122000,128
-2.10619,-1.45518,-1.30573,-0.430194,-0.989417,-0.734994,0.0676246,6.57632,0.202376,0.155073,123000,130
-2.22355,-1.62802,-1.4964,-0.252814,-0.742933,-0.641159,0.0652728,6.61602,0.199952,0.154066,124000,133
-2.1501,-1.42253,-1.28228,-0.463892,-1.09592,-0.793238,0.0827816,6.6183,0.207363,0.154359,125000,136
-2.05029,-1.35002,-1.19735,-0.480296,-1.1917,-0.796169,0.0668351,6.74232,0.205556,0.156699,126000,140
-2.01747,-1.41082,-1.26376,-0.499631,-1.03416,-0.765328,0.0653652,6.62069,0.205508,0.155679,127000,143
-2.26631,-1.5763,-1.46853,-0.346209,-0.714735,-0.639657,0.0690933,6.58242,0.204611,0.154669,128000,146
-2.21756,-1.61537,-1.51032,-0.356617,-0.620029,-0.71941,0.0634916,6.66952,0.204986,0.154295,129000,150
-2.16184,-1.62675,-1.50473,-0.311411,-0.686857,-0.689669,0.0647386,6.72011,0.200671,0.155261,130000,153
-2.24816,-1.56711,-1.43134,-0.443652,-0.69649,-0.714103,0.0733942,6.7814,0.202688,0.156224,131000,156
-2.13025,-1.51851,-1.38569,-0.470616,-0.772743,-0.690884,0.0732048,6.70491,0.205276,0.158207,132000,158
-2.08793,-1.35717,-1.23834,-0.485048,-1.21942,-0.711074,0.0684622,6.618,0.202623,0.153759,133000,160
-2.09054,-1.2966,-1.14914,-0.589997,-1.22184,-0.811316,0.0717538,6.71699,0.204492,0.157127,134000,162
-2.12654,-1.45105,-1.30885,-0.501615,-0.987735,-0.79871,0.0734191,6.65642,0.203124,0.153351,135000,165
-2.19167,-1.55073,-1.38921,-0.360741,-0.836496,-0.692458,0.0655779,6.6229,0.201766,0.155067,136000,168
