BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-2.53391,-2.05195,-1.90971,0.0171932,0.0519928,0.00157712,6.66089,0.206785,0.152983,164000,189
-2.46504,-2.07332,-1.92969,0.0167142,0.0500867,0.00463078,6.78819,0.204993,0.155442,165000,192
-2.46509,-2.07919,-1.93261,0.0121999,0.0457102,0.00150819,6.58319,0.203777,0.153901,166000,194
-2.55221,-2.0771,-1.91636,0.0167585,0.0494544,0.00132439,6.70241,0.203683,0.153143,167000,196
-2.52096,-2.05296,-1.90396,0.0155974,0.0473686,0.00223385,6.68398,0.200111,0.151391,168000,198
-2.47762,-2.06322,-1.89059,0.0129418,0.0498889,0.00165772,6.60378,0.205244,0.153858,169000,200
-2.58189,-2.07736,-1.9008,0.0200182,0.0474638,0.000638473,6.68875,0.204754,0.154655,170000,202
-2.49701,-2.06275,-1.92048,0.0114602,0.0494789,0.000868935,6.65716,0.205227,0.151318,171000,204
-2.51482,-2.06703,-1.89325,0.0179312,0.046668,0.00169746,6.81167,0.203481,0.157563,172000,207
-2.44309,-2.0472,-1.90196,0.0126457,0.0441539,0.00189418,6.73256,0.199299,0.153688,173000,210
-2.52608,-2.0875,-1.907,0.0190459,0.0436254,1.59022e-05,6.76077,0.202565,0.152584,174000,213
-2.48373,-2.07438,-1.92563,0.0184374,0.0445319,2.60927e-05,6.75655,0.201752,0.155744,175000,216
-2.44578,-2.04639,-1.8806,0.0168201,0.0398154,0.00042961,6.48954,0.202279,0.154789,176000,219
-2.4538,-2.0744,-1.93882,0.0152032,0.0443402,0.000310229,6.70616,0.201719,0.156135,177000,222
-2.61653,-2.06159,-1.8978,0.0186793,0.0564156,0.00300813,6.6287,0.203099,0.153977,178000,225
-2.49546,-2.082,-1.92361,0.0187143,0.0431093,0.000471594,6.68065,0.203557,0.153973,179000,228
-2.58331,-2.07805,-1.92868,0.020407,0.04989,0.00203033,6.71004,0.201289,0.154143,180000,231
-2.54967,-2.07047,-1.93681,0.0109523,0.058051,0.00323951,6.62164,0.201264,0.152993,181000,234
-2.57469,-2.03949,-1.8864,0.0151511,0.0626911,0.0036929,6.53728,0.203034,0.156573,182000,237
-2.44145,-2.08142,-1.90708,0.0156994,0.0474977,0.000113782,6.69869,0.200662,0.153679,183000,241
-2.47896,-2.05977,-1.89498,0.0135298,0.0445352,0.000223503,6.56339,0.204789,0.151881,184000,244
-2.53984,-2.07182,-1.91847,0.00969058,0.0516554,0.00567334,6.6338,0.201451,0.152963,185000,247
-2.54506,-2.05729,-1.91027,0.0133087,0.0548845,0.000125356,6.60913,0.201153,0.154221,186000,250
-2.48654,-2.08068,-1.909,0.0148051,0.0457472,0.000741003,6.59573,0.200339,0.154348,187000,253
-2.53426,-2.05644,-1.91912,0.0114564,0.0545536,0.00264813,6.7002,0.202414,0.154329,188000,256
-2.46587,-2.07677,-1.93546,0.0161961,0.0389301,0.00843063,6.592,0.201196,0.155052,189000,259
-2.57789,-2.07447,-1.90959,0.0218562,0.0527923,0.000761023,6.76543,0.20015,0.150509,190000,262
-2.59871,-2.05646,-1.91091,0.0158296,0.057066,0.000748068,6.73445,0.200655,0.154163,191000,265
-2.49906,-2.08239,-1.91308,0.0176881,0.0468559,0.00325668,6.69049,0.200603,0.153008,192000,267
-2.48476,-2.07202,-1.94299,0.00938624,0.0542238,0.000887257,6.61967,0.200093,0.152469,193000,269
-2.40583,-2.06927,-1.92224,0.0138509,0.0480142,0.00158336,6.55901,0.20251,0.153208,194000,271
-2.5182,-2.05128,-1.92798,0.0162026,0.0498478,0.000426728,6.58852,0.200894,0.155353,195000,273
-2.52195,-2.08733,-1.91979,0.0166128,0.0527875,0.000561823,6.55778,0.200229,0.15393,196000,275
-2.39531,-2.06594,-1.90763,0.0132999,0.0449349,0.00120813,6.59732,0.207782,0.155144,197000,277
-2.5254,-2.05495,-1.90827,0.0191723,0.0448223,0.00326625,6.6666,0.201953,0.153616,198000,279
-2.57702,-2.05878,-1.90672,0.0190069,0.0492312,0.00191011,6.81923,0.200351,0.15559,199000,281
-2.43559,-2.04168,-1.91126,0.0151921,0.0415595,0.00537041,6.54744,0.202728,0.154107,200000,283
-2.60555,-2.08805,-1.94458,0.0149472,0.0509311,0.00237101,6.69489,0.202276,0.153321,201000,285
-2.44791,-2.05506,-1.91035,0.0154405,0.0410702,0.00136498,6.6067,0.202934,0.15481,202000,287
-2.52126,-2.08516,-1.93614,0.0198829,0.0470724,2.75208e-05,6.70969,0.202972,0.151516,203000,289
-2.54324,-2.08408,-1.90654,0.0169357,0.0493461,0.000283315,6.69845,0.199,0.15214,204000,292
-2.51174,-2.05857,-1.93435,0.0170673,0.0455291,1.52838e-05,6.60489,0.200202,0.151437,205000,294
-2.50877,-2.0701,-1.8908,0.0189287,0.0421506,0.00118101,6.70507,0.203264,0.154174,206000,296
-2.45612,-2.08965,-1.94903,0.0215209,0.0440121,0.00382176,6.65626,0.198009,0.151546,207000,298
-2.50796,-2.0777,-1.93625,0.012879,0.0598322,0.00311546,6.68388,0.201937,0.151376,208000,300
-2.53895,-2.09961,-1.94688,0.0185116,0.0508754,0.00316311,6.55734,0.197977,0.153623,209000,302
-2.5329,-2.0751,-1.92811,0.0204009,0.0456715,0.000979023,6.63393,0.204314,0.151675,210000,304
-2.63315,-2.06625,-1.91536,0.0211974,0.0465316,0.000773366,6.55481,0.200472,0.153484,211000,306
-2.45283,-2.0765,-1.94629,0.0145457,0.0450006,0.00249066,6.65478,0.203491,0.152872,212000,309
-2.4808,-2.09145,-1.92969,0.0146944,0.04341,9.54004e-05,6.67001,0.205641,0.151273,213000,312
-2.44009,-2.06411,-1.97047,0.0113965,0.0541783,0.00503712,6.73604,0.200612,0.150171,214000,315
-2.52555,-2.0651,-1.92559,0.0163295,0.0489159,0.000311823,6.67648,0.200621,0.150878,215000,318
-2.40408,-2.07639,-1.95136,0.0181876,0.0371049,0.00208318,6.56928,0.20092,0.152179,216000,321
-2.47797,-2.0594,-1.92086,0.0133432,0.0555287,0.000193802,6.56394,0.201281,0.152585,217000,324
-2.45266,-2.0797,-1.9419,0.012872,0.0476326,0.00338011,6.54435,0.199906,0.152229,218000,327
-2.49741,-2.10091,-1.94984,0.00632378,0.0571824,0.00496078,6.68248,0.20059,0.150612,219000,330
-2.54818,-2.06663,-1.94827,0.0238619,0.0387148,0.00174674,6.70414,0.197768,0.152418,220000,335
-2.52558,-2.11678,-1.91576,0.0147749,0.0506826,0.00244378,6.80003,0.201793,0.149669,221000,338
-2.41316,-2.08708,-1.95157,0.0118032,0.0473756,5.95817e-06,6.67578,0.198133,0.15164,222000,341
-2.42176,-2.07562,-1.9328,0.0141508,0.0362529,0.00113829,6.53967,0.199157,0.150799,223000,344
-2.45542,-2.07168,-1.93275,0.0184632,0.0442196,2.32687e-05,6.65849,0.199235,0.151801,224000,348
-2.54298,-2.09291,-1.95974,0.0186609,0.0378515,0.00421744,6.7755,0.201788,0.150472,225000,351
-2.49671,-2.08279,-1.92596,0.0174053,0.0498459,0.00227231,6.62577,0.202486,0.151944,226000,354
-2.4852,-2.09357,-1.94397,0.0118094,0.0488906,0.00321099,6.66525,0.202877,0.150106,227000,357
-2.43179,-2.07765,-1.92844,0.0160881,0.0404952,0.000296357,6.66655,0.200791,0.150692,228000,360
-2.46308,-2.08364,-1.92642,0.0123298,0.0482923,0.000307056,6.66927,0.202768,0.150088,229000,363
-2.64745,-2.07953,-1.92217,0.0264278,0.0449006,0.000532351,6.50203,0.199049,0.151927,230000,366
-2.57743,-2.07799,-1.92637,0.0218601,0.0423179,0.000653131,6.69958,0.199042,0.149432,231000,369
-2.45855,-2.10602,-1.94857,0.0130488,0.0538234,0.00161917,6.6344,0.200949,0.148835,232000,372
-2.47827,-2.07478,-1.96001,0.0155686,0.0438923,0.000594862,6.64996,0.199972,0.152496,233000,375
-2.52088,-2.09199,-1.97447,0.0172828,0.049264,0.000861129,6.71234,0.201872,0.148012,234000,379
-2.59771,-2.0839,-1.97142,0.0154085,0.0481643,0.00595683,6.46976,0.200899,0.149377,235000,382
-2.45681,-2.08209,-1.94555,0.0152955,0.0453296,0.0020317,6.91002,0.199528,0.150551,236000,385
-2.57865,-2.13011,-1.95648,0.0224664,0.0495649,0.0016327,6.71551,0.202099,0.150889,237000,388
-2.6479,-2.10218,-1.96289,0.019972,0.0448606,0.00196733,6.6862,0.19899,0.148523,238000,391
-2.52939,-2.08996,-1.93703,0.0180155,0.048254,0.00231415,6.57449,0.198268,0.148489,239000,394
-2.41345,-2.09698,-1.94131,0.0119713,0.0468651,0.00339822,6.79032,0.199887,0.149659,240000,397
-2.42757,-2.11062,-1.96904,0.0143417,0.0459197,0.00204841,6.62665,0.198577,0.148178,241000,400
-2.53145,-2.09839,-1.96721,0.0190526,0.040122,0.00178389,6.66728,0.199333,0.148107,242000,403
-2.53535,-2.07361,-1.95505,0.0164771,0.0529819,0.00103798,6.56047,0.200675,0.151318,243000,406
-2.53249,-2.11328,-1.98794,0.0143968,0.0525396,0.00118926,6.67464,0.203066,0.14626,244000,409
