BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-1.90392,-1.3246,-1.1751,-0.259384,-0.751666,-0.463897,-1.38438,-0.77947,0.06099,6.56523,0.215828,0.162213,78000,87
-1.86705,-1.23272,-1.06525,-0.370129,-0.832527,-0.514849,-1.56745,-0.856725,0.0655963,6.67109,0.214065,0.16096,79000,87
-1.92764,-1.31092,-1.12624,-0.252273,-0.789831,-0.475613,-1.48552,-0.789711,0.0644293,6.6522,0.210053,0.159886,80000,88
-1.8294,-1.16463,-1.02806,-0.364287,-0.925115,-0.50892,-1.64665,-0.940959,0.0675417,6.61448,0.215398,0.162662,81000,89
-1.90485,-1.32071,-1.17134,-0.396022,-0.686626,-0.530183,-1.28445,-0.903228,0.0713113,6.68046,0.211424,0.161784,82000,91
-2.02556,-1.31968,-1.12964,-0.293325,-0.73193,-0.442516,-1.33638,-0.959329,0.0631799,6.81517,0.214131,0.160524,83000,92
-2.09159,-1.49648,-1.35567,-0.103954,-0.636032,-0.33165,-0.995574,-0.794744,0.0665883,6.59605,0.212202,0.162123,84000,93
-1.92356,-1.3662,-1.18866,-0.23936,-0.734581,-0.416527,-1.32704,-0.892787,0.0605539,6.67644,0.212799,0.161354,85000,93
-1.87418,-1.212,-1.04678,-0.402759,-0.828925,-0.479169,-1.6983,-0.902462,0.0657169,6.64873,0.210285,0.158664,86000,94
-1.7933,-1.10927,-0.92987,-0.305555,-1.0416,-0.520461,-1.98535,-0.869525,0.0668454,6.7721,0.210153,0.161688,87000,95
-1.71926,-1.03366,-0.891837,-0.371465,-1.03562,-0.62644,-2.08849,-0.890367,0.066273,6.68384,0.210845,0.158389,88000,96
-1.65252,-1.07326,-0.925583,-0.446172,-0.954324,-0.608841,-1.97953,-0.901228,0.0600493,6.60252,0.210803,0.162806,89000,97
-1.66638,-0.945977,-0.79741,-0.641226,-1.1468,-0.847927,-1.69314,-1.24957,0.0743458,6.61509,0.209235,0.163001,90000,98
-1.77259,-1.00351,-0.898784,-0.593429,-1.05394,-0.697725,-1.80078,-1.10878,0.0808855,6.60181,0.210561,0.16336,91000,98
-1.70665,-0.965199,-0.807463,-0.797863,-1.05471,-0.840535,-1.71839,-1.19005,0.0771314,6.72157,0.20825,0.162569,92000,99
-1.78489,-1.10858,-0.95396,-0.523934,-0.964081,-0.632399,-1.67679,-1.06054,0.0722201,6.71071,0.208554,0.161929,93000,100
-1.85835,-1.16046,-0.995984,-0.393896,-0.950951,-0.545736,-1.70483,-1.00063,0.0719834,6.68319,0.20959,0.162849,94000,101
-1.85969,-1.26801,-1.16656,-0.331973,-0.829466,-0.468133,-1.4196,-0.941206,0.0646877,6.77436,0.212824,0.159886,95000,102
-1.91272,-1.18625,-1.04202,-0.288434,-0.930618,-0.514195,-1.66255,-0.969593,0.0696659,6.65577,0.20704,0.160403,96000,103
-1.92496,-1.36839,-1.21818,-0.241727,-0.687985,-0.374727,-1.35156,-0.84845,0.0643543,6.5795,0.210043,0.161553,97000,104
-2.00999,-1.3405,-1.19585,-0.254544,-0.769636,-0.376623,-1.36145,-0.907077,0.0685513,6.60648,0.206542,0.157975,98000,105
-1.97195,-1.36543,-1.22935,-0.27097,-0.677212,-0.443976,-1.15425,-0.8849,0.0652138,6.66357,0.206755,0.162111,99000,107
-1.98281,-1.29216,-1.14746,-0.381201,-0.777856,-0.492114,-1.35583,-0.994559,0.0731527,6.69464,0.208743,0.158388,100000,108
-2.04233,-1.16693,-1.0433,-0.532328,-0.878373,-0.616709,-1.45324,-1.08427,0.0826322,6.62283,0.207134,0.161016,101000,109
-2.10061,-1.43179,-1.31443,-0.164853,-0.580467,-0.392168,-1.08757,-0.914155,0.0676858,6.64192,0.20601,0.161704,102000,111
-2.15793,-1.55176,-1.3935,-0.0707995,-0.553131,-0.320388,-0.814187,-0.906899,0.0712725,6.59085,0.208818,0.158933,103000,112
-2.24551,-1.60968,-1.48907,0.103691,-0.465535,-0.255101,-0.828413,-0.864861,0.0682165,6.63735,0.206112,0.161873,104000,113
-2.10018,-1.44229,-1.33281,-0.337821,-0.585907,-0.481286,-0.726346,-1.12348,0.0679378,6.62543,0.206407,0.161867,105000,114
-2.05049,-1.408,-1.25543,-0.229534,-0.66437,-0.356037,-1.15306,-0.993372,0.0604855,6.59391,0.203146,0.157741,106000,116
-2.13682,-1.35798,-1.21654,-0.224394,-0.734025,-0.453318,-1.12022,-1.07203,0.0730376,6.67719,0.205027,0.160709,107000,117
-2.1116,-1.37833,-1.24032,-0.221411,-0.710178,-0.379414,-1.19608,-1.06761,0.0749707,6.58265,0.206582,0.158588,108000,118
-2.00454,-1.29318,-1.18175,-0.34561,-0.787012,-0.521403,-1.27804,-1.11896,0.0793703,6.67675,0.206065,0.156758,109000,119
-2.02866,-1.39407,-1.26884,-0.335195,-0.650266,-0.406146,-1.20772,-0.961936,0.0685559,6.75645,0.201174,0.159233,110000,121
-2.082,-1.39322,-1.28163,-0.268043,-0.639169,-0.38382,-1.31295,-0.9934,0.0725096,6.6384,0.204022,0.157256,111000,122
-2.08108,-1.46793,-1.31712,-0.104468,-0.679895,-0.248889,-1.25878,-0.899973,0.0702372,6.63835,0.206927,0.158291,112000,123
-2.21495,-1.539,-1.42634,-0.0120979,-0.569491,-0.258864,-1.07324,-0.877411,0.0720433,6.53966,0.205281,0.156075,113000,124
-2.20885,-1.52267,-1.3816,0.0728618,-0.579385,-0.254728,-1.10218,-0.755424,0.0657993,6.7398,0.205891,0.158181,114000,126
-2.06261,-1.64724,-1.48558,0.0305298,-0.472808,-0.180347,-0.897475,-0.817976,0.0600502,6.61603,0.204336,0.159054,115000,127
-2.25075,-1.71551,-1.56448,0.0500871,-0.352164,-0.129247,-0.743324,-0.836683,0.0623937,6.66698,0.205397,0.158029,116000,128
-2.38816,-1.62458,-1.49903,-0.0637925,-0.40716,-0.207841,-0.81155,-0.884516,0.0739577,6.71673,0.205349,0.158668,117000,129
-2.17694,-1.55197,-1.4631,-0.0445194,-0.524297,-0.220784,-0.994993,-0.888549,0.0728492,6.74745,0.202559,0.157267,118000,131
-2.2146,-1.51345,-1.41649,-0.202423,-0.524597,-0.383854,-0.942507,-0.923826,0.0718887,6.66252,0.207434,0.156144,119000,132
-2.23249,-1.39306,-1.27468,-0.341843,-0.644947,-0.484361,-1.08091,-1.13967,0.0752733,6.59925,0.205461,0.155471,120000,133
-2.1264,-1.37926,-1.23341,-0.457536,-0.617079,-0.594165,-1.05051,-0.971324,0.0729012,6.5882,0.204995,0.153467,121000,136
-2.12591,-1.28021,-1.12549,-0.608797,-0.645309,-0.819369,-1.07126,-1.12142,0.0820032,6.6204,0.202092,0.155164,122000,140
-2.03071,-1.29276,-1.13732,-0.635671,-0.67986,-0.782826,-1.00952,-1.14441,0.0751008,6.74465,0.208409,0.155218,123000,143
-2.05815,-1.31738,-1.16855,-0.454659,-0.631075,-0.692251,-1.28281,-0.987592,0.0717665,6.74445,0.206412,0.151754,124000,146
-1.99984,-1.35227,-1.22792,-0.485878,-0.564371,-0.640631,-1.20515,-0.970629,0.0741617,6.77318,0.209162,0.155521,125000,149
-2.05743,-1.24306,-1.07352,-0.501507,-0.807736,-0.708842,-1.34698,-1.1126,0.075836,6.6687,0.202322,0.155123,126000,152
-2.11607,-1.35321,-1.23125,-0.421968,-0.576186,-0.666867,-1.04977,-0.951174,0.0772652,6.64819,0.204103,0.155433,127000,155
-2.29916,-1.42649,-1.2311,-0.468633,-0.577063,-0.642083,-0.912796,-0.960153,0.0755533,6.60589,0.203152,0.155105,128000,158
-2.13976,-1.33842,-1.17783,-0.457908,-0.701597,-0.645713,-1.06499,-1.20427,0.0769398,6.7126,0.204181,0.152542,129000,161
-2.01438,-1.26682,-1.09119,-0.507744,-0.773201,-0.769644,-1.20543,-1.15765,0.0776804,6.72945,0.201381,0.152832,130000,163
-1.85025,-1.08982,-0.924509,-0.667043,-0.892876,-0.883981,-1.55241,-1.15917,0.0724309,6.70411,0.20548,0.15389,131000,167
-1.89486,-1.20157,-1.04042,-0.44028,-0.885689,-0.685466,-1.59388,-1.01452,0.0722716,6.81418,0.20267,0.152701,132000,170
-2.00458,-1.25155,-1.08401,-0.45058,-0.797422,-0.695994,-1.35138,-1.0086,0.0745574,6.64433,0.203571,0.155523,133000,174
-1.89388,-1.15885,-0.966813,-0.525295,-0.900804,-0.795894,-1.67925,-1.01478,0.0726263,6.61251,0.20057,0.151976,134000,176
-1.95174,-1.1567,-1.00388,-0.486099,-0.930778,-0.782837,-1.57837,-1.07147,0.0807147,6.65238,0.204483,0.154064,135000,178
-2.07137,-1.36309,-1.20211,-0.444817,-0.728269,-0.597645,-1.2792,-0.985799,0.0799431,6.71935,0.204484,0.150081,136000,181
-1.91104,-1.2282,-1.06246,-0.571597,-0.769628,-0.757408,-1.50172,-0.976153,0.0668332,6.65014,0.205774,0.152805,137000,184
-1.97791,-1.27206,-1.12312,-0.511274,-0.743789,-0.729957,-1.32889,-1.06649,0.0707689,6.62765,0.204272,0.152133,138000,187
-2.03001,-1.51374,-1.36551,-0.154997,-0.498437,-0.467193,-1.02866,-0.814695,0.0627305,6.6766,0.200904,0.152806,139000,190
-1.97435,-1.46377,-1.28738,-0.264517,-0.542485,-0.463362,-1.27524,-0.685113,0.0656654,6.62657,0.202096,0.154257,140000,192
-2.22445,-1.50151,-1.37333,-0.2487,-0.503253,-0.510149,-0.872671,-0.916553,0.0704524,6.58334,0.200958,0.155259,141000,195
-2.10017,-1.48488,-1.30617,-0.182542,-0.525863,-0.472682,-1.11811,-0.83284,0.068741,6.64475,0.203081,0.157601,142000,198
-2.19426,-1.54062,-1.3738,-0.390013,-0.3734,-0.651653,-0.710394,-0.943145,0.0708011,6.65175,0.201876,0.153479,143000,202
-2.35555,-1.59566,-1.42598,-0.14911,-0.392061,-0.484651,-0.748846,-0.871921,0.0756012,6.65822,0.20165,0.152147,144000,204
-2.16669,-1.49415,-1.34199,-0.244233,-0.515577,-0.546934,-0.981082,-0.814967,0.074656,6.74459,0.203136,0.152837,145000,206
-2.13771,-1.33556,-1.20246,-0.459552,-0.653295,-0.696766,-1.00543,-1.14499,0.0798327,6.64002,0.201996,0.152533,146000,208
-2.12116,-1.30963,-1.15947,-0.526994,-0.661484,-0.665165,-1.1857,-1.00052,0.0726458,6.58633,0.203607,0.154239,147000,210
-2.14866,-1.33974,-1.19068,-0.383871,-0.621423,-0.700473,-0.913414,-1.13636,0.0785042,6.73639,0.20428,0.155776,148000,213
-2.29914,-1.49525,-1.33116,-0.282602,-0.488092,-0.548045,-0.93975,-0.954525,0.0748992,6.60057,0.202747,0.152715,149000,216
-2.07269,-1.3258,-1.20602,-0.335409,-0.648137,-0.607382,-1.27309,-0.977351,0.0716776,6.65434,0.202386,0.152545,150000,219
