BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-1.88792,-1.06581,-0.880149,-0.456597,-1.83947,-0.734078,0.0205758,0.0670421,0.000534167,6.66365,0.212509,0.168128,79000,84
-1.80188,-1.05455,-0.872063,-0.595711,-1.67391,-0.775619,0.0271844,0.0501645,0.000610949,6.64308,0.212593,0.16761,80000,86
-1.79673,-1.07747,-0.874185,-0.478856,-1.74022,-0.831847,0.0176417,0.0596078,8.42289e-05,6.65511,0.214045,0.165084,81000,87
-1.81196,-0.951585,-0.813038,-0.583178,-1.92692,-0.842203,0.0221958,0.0659041,0.0019135,6.60828,0.217854,0.164392,82000,88
-1.75071,-1.06912,-0.882318,-0.591273,-1.71792,-0.802537,0.0242943,0.0543909,0.00160957,6.71257,0.212453,0.163837,83000,89
-1.7955,-1.10561,-0.919433,-0.45404,-1.71389,-0.790965,0.0159569,0.0699285,0.000306898,6.72583,0.211039,0.166603,84000,90
-1.73654,-1.08174,-0.927175,-0.453782,-1.70911,-0.702304,0.0163053,0.0620712,0.00106382,6.74429,0.212102,0.16704,85000,92
-1.93511,-1.22039,-1.03634,-0.412038,-1.47135,-0.722981,0.0225479,0.058901,0.00220446,6.74826,0.212315,0.163195,86000,93
-1.85827,-1.23558,-1.05637,-0.409309,-1.46252,-0.699509,0.0133087,0.071147,0.00203893,6.6608,0.211178,0.164802,87000,94
-1.93316,-1.23411,-1.05141,-0.393712,-1.45758,-0.717844,0.0263879,0.0530257,0.000212678,6.64799,0.210034,0.163462,88000,95
-2.05197,-1.3175,-1.12776,-0.332584,-1.30401,-0.741794,0.0182787,0.0629419,0.00152057,6.63297,0.210038,0.16345,89000,97
-2.09627,-1.30875,-1.16897,-0.408562,-1.19431,-0.753726,0.0265971,0.0548496,8.60592e-05,6.67391,0.211715,0.163393,90000,98
-2.06971,-1.25876,-1.116,-0.349403,-1.34421,-0.741129,0.0198318,0.0584235,0.00312397,6.68661,0.209167,0.163541,91000,99
-1.97935,-1.28122,-1.12492,-0.362425,-1.29643,-0.739725,0.0188636,0.059738,7.46928e-05,6.63386,0.208643,0.164918,92000,100
-1.84904,-1.24582,-1.06781,-0.417676,-1.36403,-0.771628,0.0182922,0.0508596,0.00189834,6.77808,0.209782,0.160934,93000,102
-2.0199,-1.25649,-1.11113,-0.371977,-1.34806,-0.791196,0.0182479,0.0629305,7.75163e-05,6.67059,0.213119,0.162274,94000,103
-2.03482,-1.27555,-1.09676,-0.328624,-1.3394,-0.776412,0.0227063,0.0554042,0.0016859,6.69885,0.212027,0.164793,95000,104
-2.09349,-1.34438,-1.16721,-0.254862,-1.26785,-0.767593,0.0197178,0.065999,0.000188807,6.65971,0.206424,0.162804,96000,105
-2.05914,-1.31132,-1.15262,-0.325935,-1.3179,-0.731937,0.0213191,0.0609881,0.000719552,6.65046,0.205844,0.160752,97000,106
-1.96773,-1.24992,-1.0924,-0.336762,-1.37185,-0.768194,0.0180317,0.0590949,0.000420365,6.71249,0.210553,0.162091,98000,108
-2.23847,-1.49975,-1.32154,-0.170006,-0.985412,-0.704602,0.0155863,0.0704183,0.00183158,6.76435,0.208504,0.164266,99000,109
-2.10996,-1.40671,-1.26135,-0.32019,-1.04901,-0.697552,0.0147384,0.0674979,0.000146761,6.61997,0.206784,0.162445,100000,110
-2.07512,-1.35597,-1.1894,-0.338588,-1.17485,-0.694131,0.0175559,0.0630341,0.00157187,6.61641,0.210289,0.164484,101000,111
-2.16922,-1.34383,-1.20787,-0.379299,-1.08556,-0.752541,0.0260563,0.0613084,0.000271109,6.63397,0.206902,0.162399,102000,113
-2.09959,-1.39866,-1.23381,-0.259942,-1.10596,-0.701872,0.0104267,0.0687078,3.04068e-06,6.72759,0.206503,0.162031,103000,114
-2.09392,-1.37407,-1.19912,-0.323252,-1.19338,-0.756769,0.0161807,0.0727896,0.00550343,6.64694,0.207807,0.161163,104000,115
-2.01693,-1.40291,-1.20895,-0.329651,-1.16934,-0.677461,0.0215433,0.0536331,0.000622208,6.5685,0.206174,0.162317,105000,116
-1.8901,-1.17581,-1.03922,-0.455562,-1.49879,-0.767224,0.0174697,0.0607125,0.00078415,6.67004,0.20831,0.16263,106000,117
-1.88516,-1.19463,-1.01287,-0.396604,-1.57065,-0.832337,0.0192189,0.0612752,0.000730017,6.58693,0.207206,0.162725,107000,118
-1.93751,-1.2482,-1.08051,-0.406092,-1.4785,-0.778818,0.0177497,0.0615677,0.00576114,6.64273,0.206141,0.162862,108000,119
-1.86931,-1.18109,-1.02354,-0.420001,-1.54282,-0.777957,0.0174723,0.0613108,0.001179,6.59929,0.205386,0.162565,109000,120
-1.97798,-1.14999,-0.970599,-0.460163,-1.56438,-0.802147,0.0163922,0.0715715,0.000728093,6.63556,0.207325,0.161973,110000,121
-2.00504,-1.21895,-1.07036,-0.371283,-1.4859,-0.772251,0.0242129,0.0575491,0.00226514,6.64919,0.205889,0.161186,111000,122
-2.13931,-1.19828,-1.04499,-0.413642,-1.52504,-0.811131,0.0211698,0.0732492,0.00251805,6.49293,0.203219,0.160656,112000,123
-1.93159,-1.16527,-0.981257,-0.41245,-1.6179,-0.787066,0.0133204,0.0793442,0.00101447,6.53038,0.208861,0.162083,113000,124
-1.96425,-1.34726,-1.1984,-0.293935,-1.26191,-0.685607,0.0178004,0.0489901,0.000322249,6.66506,0.207572,0.161885,114000,125
-1.94846,-1.27013,-1.09847,-0.374961,-1.44499,-0.758199,0.02453,0.0497866,0.00133369,6.58183,0.207691,0.158466,115000,126
-2.11443,-1.29508,-1.13262,-0.337975,-1.41631,-0.739009,0.0189673,0.0617797,0.00234655,6.67785,0.207511,0.159011,116000,127
-1.84133,-1.20641,-1.02505,-0.355272,-1.5813,-0.763147,0.0126565,0.0631779,0.00508787,6.55091,0.20386,0.163207,117000,128
-2.12697,-1.27364,-1.09183,-0.358168,-1.38978,-0.77719,0.0213114,0.0662046,0.000734546,6.63713,0.202375,0.159205,118000,129
-1.99903,-1.36657,-1.20695,-0.239506,-1.28791,-0.675185,0.0126616,0.0594015,0.000199995,6.68213,0.202614,0.160435,119000,130
-2.11561,-1.43848,-1.25801,-0.280229,-1.09761,-0.706723,0.0229673,0.058576,0.00115997,6.75717,0.203697,0.160051,120000,132
-1.82563,-1.15537,-0.959466,-0.502119,-1.64698,-0.778644,0.019735,0.0521648,0.000359699,6.65665,0.205374,0.159087,121000,135
-2.20812,-1.33471,-1.12679,-0.397307,-1.31291,-0.833682,0.0287098,0.0673184,6.51557e-05,6.69694,0.203301,0.155909,122000,138
-1.95169,-1.29653,-1.11711,-0.370904,-1.3549,-0.713749,0.019765,0.0539014,0.00285465,6.65725,0.20393,0.158407,123000,142
-2.04461,-1.18882,-1.02214,-0.461629,-1.57533,-0.774275,0.0225888,0.0613972,0.000170189,6.66082,0.202837,0.155959,124000,145
-2.26423,-1.43021,-1.28161,-0.360873,-1.03989,-0.758777,0.0226687,0.0617319,0.0025471,6.70532,0.205805,0.157184,125000,148
-2.15318,-1.5388,-1.34699,-0.243907,-0.890184,-0.675076,0.0141127,0.0573498,0.00115982,6.54958,0.204481,0.15677,126000,152
-2.21007,-1.39014,-1.25096,-0.482238,-1.0074,-0.696335,0.030371,0.0483244,0.00228161,6.69672,0.207221,0.158056,127000,155
-2.12278,-1.29322,-1.12818,-0.437397,-1.38461,-0.743865,0.0258229,0.0511424,0.000575728,6.5801,0.205521,0.153216,128000,158
-2.12722,-1.40044,-1.21589,-0.473169,-0.977842,-0.756456,0.0161444,0.0592075,0.00217218,6.76483,0.205815,0.157367,129000,162
-2.12704,-1.40048,-1.22298,-0.429095,-1.16664,-0.689084,0.0175967,0.0644266,0.0103336,6.60369,0.203252,0.155864,130000,165
-2.0645,-1.24674,-1.05894,-0.461603,-1.416,-0.823588,0.0114639,0.0762581,0.000277994,6.54667,0.204947,0.155435,131000,167
-2.19483,-1.36914,-1.19099,-0.4076,-1.14646,-0.797956,0.0275999,0.0556311,0.00327177,6.78718,0.204994,0.154653,132000,170
-2.15864,-1.48179,-1.29868,-0.383779,-0.908419,-0.712037,0.0147719,0.0601022,0.00107375,6.65479,0.207538,0.155821,133000,173
-2.12065,-1.33526,-1.16186,-0.449032,-1.22856,-0.792638,0.0181639,0.0645948,0.00126582,6.73449,0.206766,0.155507,134000,176
-2.05751,-1.31057,-1.13807,-0.428338,-1.34841,-0.716607,0.0187962,0.0637316,0.000258386,6.66888,0.202772,0.156203,135000,180
-2.15315,-1.29579,-1.07682,-0.583725,-1.2271,-0.820914,0.0355339,0.0546766,0.00712863,6.68304,0.200496,0.15558,136000,183
-2.10194,-1.22808,-1.0566,-0.566706,-1.38367,-0.817651,0.0217998,0.0714079,0.000576744,6.75529,0.201289,0.156393,137000,187
-1.8715,-1.06072,-0.892613,-0.63456,-1.75947,-0.909412,0.0192201,0.0660063,0.000767492,6.61745,0.206285,0.157257,138000,190
-2.01493,-1.10413,-0.950392,-0.637603,-1.62724,-0.840679,0.0193664,0.0687166,0.00341074,6.74532,0.20331,0.159067,139000,193
-2.0137,-1.20302,-1.00882,-0.526888,-1.48151,-0.785537,0.0206027,0.0635455,0.000610198,6.57034,0.205501,0.156942,140000,197
-1.93794,-1.12555,-0.964789,-0.645654,-1.58912,-0.881117,0.0201392,0.0661481,0.00228234,6.7078,0.202468,0.154766,141000,200
-2.04659,-1.179,-1.03473,-0.545404,-1.50532,-0.785169,0.0192666,0.0696644,0.000761399,6.68924,0.203991,0.15663,142000,203
-2.14675,-1.39377,-1.23363,-0.440294,-1.06971,-0.694616,0.0149641,0.064491,0.00109432,6.5737,0.205388,0.155727,143000,205
-2.25274,-1.48466,-1.30372,-0.244371,-1.02988,-0.702287,0.0155831,0.0713994,1.22181e-05,6.52585,0.20448,0.157676,144000,207
-2.28337,-1.45872,-1.31192,-0.309233,-1.0004,-0.697446,0.029064,0.0530822,0.00168973,6.6102,0.202594,0.157426,145000,209
-2.17791,-1.42638,-1.27601,-0.400006,-0.977033,-0.691405,0.0233318,0.0490205,0.000403075,6.68931,0.206151,0.155555,146000,212
-2.18466,-1.45996,-1.28844,-0.236086,-1.08519,-0.669104,0.0242423,0.0560536,0.00134148,6.69757,0.206372,0.156587,147000,215
-2.19661,-1.51492,-1.34757,-0.265622,-1.00214,-0.710999,0.0237878,0.0541726,0.00502445,6.69683,0.20308,0.155048,148000,218
-2.14954,-1.49812,-1.28864,-0.286079,-0.97678,-0.699364,0.0115818,0.0739856,0.000840835,6.69335,0.202413,0.155952,149000,221
-2.03086,-1.23429,-1.03942,-0.51912,-1.49301,-0.84753,0.02268,0.0586606,0.00134417,6.76616,0.201383,0.155385,150000,225
-1.86238,-1.07126,-0.928664,-0.559435,-1.71592,-0.878221,0.0252092,0.0521461,0.00102475,6.77562,0.201462,0.154832,151000,227
-1.95088,-1.15255,-0.972435,-0.587097,-1.58294,-0.862119,0.0239144,0.0544037,0.00218052,6.71913,0.200259,0.155504,152000,229
-1.96175,-1.10065,-0.96978,-0.662833,-1.6083,-0.797,0.0281498,0.0550702,0.00082973,6.75778,0.20431,0.157355,153000,232
-2.30558,-1.41267,-1.27099,-0.479113,-0.948425,-0.803137,0.0295468,0.0563017,0.0010616,6.65938,0.205521,0.154717,154000,234
-2.31781,-1.51043,-1.3637,-0.245194,-0.943022,-0.673209,0.0152605,0.070529,0.00175394,6.69013,0.205687,0.155536,155000,237
-2.07766,-1.36436,-1.21012,-0.379364,-1.23595,-0.711819,0.0193287,0.0604523,0.00100942,6.76019,0.201786,0.154776,156000,240
-2.19215,-1.4535,-1.26836,-0.34148,-1.03458,-0.68996,0.0302827,0.0451567,7.52929e-05,6.65988,0.201838,0.157471,157000,242
-2.23724,-1.49841,-1.32737,-0.284842,-1.02388,-0.736602,0.0263742,0.0566021,0.00103799,6.76187,0.205186,0.153991,158000,244
-2.1722,-1.45657,-1.31033,-0.274812,-1.033,-0.725379,0.019183,0.053015,0.000513422,6.66952,0.201186,0.154372,159000,247
-2.38586,-1.61033,-1.47495,-0.318794,-0.632952,-0.670845,0.0174523,0.0595395,0.000697063,6.68522,0.202767,0.153043,160000,250
-2.30904,-1.63022,-1.47217,-0.302072,-0.633023,-0.656697,0.0184061,0.0617818,0.00145465,6.67454,0.204935,0.151615,161000,252
-2.38257,-1.87096,-1.69302,-0.083087,-0.258968,-0.597414,0.0203955,0.0416807,0.000547715,6.54391,0.200882,0.154202,162000,255
-2.46959,-1.83158,-1.6908,-0.061569,-0.296756,-0.554741,0.0234471,0.0485759,0.00160711,6.72255,0.203625,0.152606,163000,258
-2.19552,-1.54762,-1.39535,-0.332757,-0.738528,-0.749271,0.0189485,0.0580909,0.00012976,6.68323,0.204937,0.155718,164000,260
-2.34745,-1.60644,-1.44042,-0.24416,-0.796389,-0.647282,0.021744,0.0622124,0.000327087,6.68025,0.203361,0.153978,165000,263
-2.29001,-1.57014,-1.4085,-0.252857,-0.89063,-0.694076,0.0210369,0.0672789,0.000299272,6.65795,0.202357,0.151853,166000,266
-2.24059,-1.35355,-1.17811,-0.540022,-1.15806,-0.810881,0.0226656,0.0605519,0.000166574,6.60178,0.20206,0.153473,167000,268
-2.17696,-1.4648,-1.2718,-0.353071,-1.08385,-0.795842,0.0175816,0.0627898,0.00018832,6.63228,0.201267,0.152997,168000,272
-2.14656,-1.27355,-1.11191,-0.41579,-1.44464,-0.82217,0.0213097,0.0647058,0.00213361,6.63693,0.205428,0.152256,169000,275
-2.11648,-1.44444,-1.26085,-0.34254,-1.12594,-0.730889,0.0163548,0.0603008,0.00530991,6.6334,0.206298,0.151106,170000,278
-2.16035,-1.42077,-1.23903,-0.376771,-1.18821,-0.749929,0.0259479,0.0553045,0.00131438,6.68379,0.201693,0.150664,171000,282
-2.08542,-1.37,-1.17505,-0.344809,-1.28804,-0.74927,0.022532,0.0512443,0.00229372,6.60283,0.20477,0.154473,172000,285
-2.0092,-1.27012,-1.11196,-0.443705,-1.41804,-0.859269,0.0240294,0.057962,0.000272053,6.59957,0.204006,0.152245,173000,288
-2.01269,-1.25361,-1.06528,-0.508379,-1.44119,-0.859745,0.0232894,0.0578169,0.00336008,6.79422,0.20083,0.152297,174000,292
-2.19652,-1.35582,-1.19433,-0.473068,-1.22424,-0.790758,0.0207329,0.064811,0.00198976,6.64324,0.204554,0.152469,175000,295
-1.94467,-1.2851,-1.09318,-0.457018,-1.43361,-0.85395,0.0192147,0.0495381,0.00329629,6.68565,0.202557,0.15216,176000,298
-1.99689,-1.18214,-0.999845,-0.512487,-1.57598,-0.837611,0.0233102,0.0523264,0.000501038,6.6586,0.203146,0.154084,177000,302
-1.90474,-1.08042,-0.924791,-0.604775,-1.81751,-0.895958,0.0321062,0.0529645,0.00245476,6.63653,0.201831,0.153257,178000,304
-1.98585,-1.04746,-0.868973,-0.584814,-1.89085,-0.891537,0.0220344,0.076861,0.00320856,6.59114,0.203773,0.152031,179000,307
