BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-2.29789,-1.51786,-1.33973,-0.115328,-0.476109,-0.372111,-0.69424,-1.09035,0.0224907,0.0684305,0.00180762,6.66256,0.208106,0.163399,107000,112
-2.39649,-1.47676,-1.32741,-0.354028,-0.479605,-0.527761,-0.582276,-1.13732,0.0213104,0.0733792,0.000629865,6.6307,0.20813,0.159467,108000,113
-2.46402,-1.74154,-1.57217,0.0406258,-0.283123,-0.283981,-0.128083,-1.02109,0.0240226,0.0560976,0.000125385,6.57448,0.205833,0.160844,109000,114
-2.41368,-1.67894,-1.52129,0.128856,-0.36575,-0.218325,-0.430002,-0.880137,0.0254861,0.0561326,0.000126293,6.60199,0.207364,0.160933,110000,115
-2.4041,-1.74165,-1.57031,0.0234859,-0.278116,-0.243581,-0.299715,-0.946973,0.0200794,0.0606104,0.00185096,6.66807,0.205787,0.160448,111000,116
-2.41053,-1.62195,-1.4641,-0.0191627,-0.383451,-0.353381,-0.474789,-0.888315,0.0203616,0.0617838,0.00256841,6.70725,0.205648,0.161164,112000,116
-2.29801,-1.46816,-1.28645,-0.325413,-0.463002,-0.512087,-0.818165,-1.00844,0.022209,0.0643756,0.00325143,6.62591,0.208751,0.159369,113000,117
-2.20366,-1.41337,-1.21747,-0.272952,-0.623387,-0.514867,-0.78936,-1.13526,0.0238088,0.0662732,0.0028005,6.64113,0.206701,0.160981,114000,118
-2.24058,-1.53419,-1.37523,-0.217935,-0.447194,-0.367921,-0.819446,-0.895133,0.0190646,0.0513594,0.00205431,6.59029,0.205802,0.157842,115000,120
-2.22998,-1.52336,-1.3184,-0.292814,-0.429107,-0.505221,-0.558801,-1.03962,0.0229691,0.0559129,0.00165117,6.67833,0.205232,0.160114,116000,120
-2.11146,-1.48115,-1.30721,-0.206934,-0.563084,-0.384224,-0.846974,-0.964649,0.0214067,0.0575094,0.00102599,6.70754,0.209045,0.15879,117000,121
-2.06693,-1.41058,-1.21102,-0.278532,-0.636342,-0.488681,-1.01938,-1.04664,0.0250131,0.0532714,0.00304277,6.73267,0.204994,0.158204,118000,122
-2.08841,-1.37373,-1.21565,-0.28826,-0.615192,-0.457949,-1.25965,-0.905502,0.015539,0.0767732,0.000154245,6.6592,0.20717,0.156713,119000,124
-2.05158,-1.33834,-1.16023,-0.304865,-0.743327,-0.463287,-1.3593,-0.92151,0.0237835,0.0605107,0.00113111,6.56784,0.205488,0.16014,120000,128
-2.35816,-1.44187,-1.28147,-0.425075,-0.454207,-0.613163,-0.695804,-1.07281,0.0267849,0.058509,0.000412301,6.59743,0.207154,0.153899,121000,131
-2.22722,-1.53011,-1.40766,-0.230041,-0.268149,-0.527393,-0.809558,-0.798215,0.0114866,0.0697639,0.000642106,6.6836,0.204395,0.156697,122000,133
-2.36786,-1.50324,-1.33998,-0.343881,-0.414841,-0.654217,-0.497061,-0.916056,0.0241452,0.0598136,0.00449079,6.68136,0.203812,0.15515,123000,137
-2.32926,-1.54493,-1.38031,-0.270167,-0.305789,-0.541871,-0.553574,-0.862083,0.0206065,0.0558105,0.00019499,6.59568,0.206127,0.157798,124000,139
-2.33402,-1.40642,-1.20415,-0.413973,-0.528732,-0.715177,-0.820309,-1.04147,0.0295953,0.0577778,3.74901e-05,6.73951,0.203602,0.154033,125000,141
-2.34967,-1.36829,-1.19967,-0.658095,-0.453762,-0.79983,-0.675948,-1.1648,0.0291232,0.0649199,0.000144922,6.47197,0.204135,0.157032,126000,145
-2.14703,-1.25878,-1.09853,-0.589115,-0.63918,-0.77528,-1.0357,-1.03411,0.0335902,0.0485775,0.00116048,6.65915,0.201432,0.156196,127000,148
-2.23788,-1.47701,-1.29567,-0.361421,-0.457738,-0.569693,-0.742599,-1.02425,0.0236617,0.060898,0.000786009,6.63269,0.205944,0.154372,128000,151
-2.31377,-1.45279,-1.28392,-0.42521,-0.411912,-0.694796,-0.64516,-1.02371,0.024239,0.0636513,0.000551346,6.63979,0.203011,0.155623,129000,154
-2.2438,-1.46822,-1.2946,-0.380354,-0.471163,-0.629441,-0.605504,-1.07257,0.0262111,0.0495857,0.00332208,6.70832,0.205718,0.153169,130000,156
-2.12511,-1.38181,-1.20104,-0.34767,-0.630043,-0.583873,-1.00394,-1.04552,0.0162814,0.0677728,0.00103199,6.72143,0.20328,0.156051,131000,158
-1.98907,-1.36919,-1.20574,-0.406799,-0.533106,-0.693142,-1.00048,-0.964487,0.0227486,0.0464554,0.00838248,6.57089,0.205529,0.152677,132000,161
-2.13693,-1.36754,-1.20548,-0.420559,-0.582959,-0.634229,-1.02118,-0.972894,0.0267031,0.0574377,0.000625492,6.65913,0.206907,0.152377,133000,164
-2.16622,-1.29979,-1.14716,-0.557866,-0.597548,-0.802672,-1.0004,-1.07686,0.0274692,0.0609452,0.00407289,6.78395,0.201026,0.154177,134000,166
-2.06779,-1.33743,-1.14298,-0.381818,-0.638782,-0.603519,-1.20779,-0.920197,0.0197957,0.0619823,0.00524354,6.68844,0.206366,0.155301,135000,169
-2.1481,-1.41838,-1.23468,-0.281819,-0.555961,-0.609801,-1.05313,-0.876802,0.0262886,0.0531941,0.000323459,6.83777,0.204174,0.152613,136000,171
-2.10112,-1.36169,-1.18103,-0.399843,-0.576297,-0.58431,-1.18872,-0.892552,0.0272913,0.0520405,0.000505317,6.73955,0.206222,0.15423,137000,175
-2.0854,-1.36035,-1.18566,-0.399154,-0.614284,-0.607779,-1.04067,-1.01576,0.0206046,0.0534785,0.00236541,6.60181,0.204089,0.155653,138000,177
-2.07782,-1.19323,-1.08648,-0.576486,-0.744694,-0.809107,-1.11185,-1.17647,0.0259865,0.0572309,0.00101923,6.56469,0.203435,0.153132,139000,179
-2.06865,-1.27194,-1.12908,-0.484719,-0.684374,-0.728074,-1.14113,-0.999202,0.0270612,0.0548354,0.00101425,6.82684,0.204254,0.155712,140000,182
-2.19837,-1.28415,-1.14973,-0.549941,-0.61776,-0.796101,-0.979911,-1.06618,0.0223025,0.0745011,0.000831961,6.78321,0.204046,0.153568,141000,185
-2.09434,-1.20215,-1.00325,-0.643733,-0.735356,-0.861189,-1.23066,-1.15233,0.0276748,0.0580892,2.92195e-05,6.76256,0.204604,0.15138,142000,188
-2.09149,-1.28982,-1.11646,-0.393599,-0.649755,-0.666838,-1.38197,-0.832479,0.0265587,0.054967,0.00264663,6.65773,0.204422,0.156409,143000,191
-2.1621,-1.35137,-1.16907,-0.283544,-0.618765,-0.684037,-1.16892,-0.888329,0.0270203,0.0549802,0.000770729,6.74531,0.201626,0.151621,144000,195
-1.99734,-1.19319,-1.07263,-0.505289,-0.79228,-0.753669,-1.39957,-1.00393,0.0202128,0.0668446,0.00194851,6.68148,0.204771,0.152493,145000,198
-1.8254,-1.18896,-1.01994,-0.476022,-0.73039,-0.749132,-1.57778,-0.945543,0.0175647,0.0548215,0.000343295,6.65779,0.200501,0.151865,146000,200
-1.86843,-0.970704,-0.800582,-0.859421,-0.99035,-0.962329,-1.64721,-1.36197,0.0329291,0.0485329,0.000224101,6.57794,0.203215,0.153391,147000,203
-1.92232,-0.90397,-0.70578,-0.941418,-1.05835,-1.0475,-1.81669,-1.33833,0.0339641,0.0597738,0.00154306,6.77743,0.201889,0.152036,148000,206
-1.92004,-1.04972,-0.887086,-0.697848,-0.873624,-0.968516,-1.47724,-1.22877,0.0307374,0.0540111,0.000215561,6.64186,0.202876,0.151941,149000,210
-1.94837,-1.07679,-0.917098,-0.81119,-0.857586,-0.977108,-1.39446,-1.16673,0.0307216,0.0560896,0.00121766,6.72222,0.20342,0.153464,150000,213
-2.11704,-1.17298,-0.992194,-0.574795,-0.818355,-0.731335,-1.40599,-1.17644,0.0272138,0.0657788,0.0064148,6.80732,0.200827,0.152173,151000,217
-1.92833,-1.14318,-1.03966,-0.517049,-0.820699,-0.776481,-1.41059,-1.07288,0.0263179,0.0515619,0.00179668,6.6891,0.203228,0.153882,152000,220
-1.99663,-1.19299,-1.01066,-0.520757,-0.83378,-0.748091,-1.55224,-1.00152,0.0194253,0.0652282,0.00501071,6.6875,0.200582,0.150058,153000,223
-1.96931,-1.24297,-1.02185,-0.50703,-0.753863,-0.733785,-1.35756,-0.970035,0.0227815,0.0563958,0.000846505,6.69112,0.201905,0.154618,154000,225
-1.89507,-1.16268,-0.962834,-0.477437,-0.845458,-0.725458,-1.72572,-0.99387,0.0210472,0.0602236,0.000373631,6.69966,0.201555,0.151619,155000,228
-1.93579,-1.08098,-0.911772,-0.65523,-0.864106,-0.841585,-1.70756,-0.950076,0.0203024,0.0628826,0.000793938,6.74262,0.204203,0.151762,156000,231
