BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.56373,-2.07622,-1.9718,0.0568434,6.55351,0.204657,0.154049,142000,182
-2.43577,-2.07284,-1.94596,0.0554267,6.55125,0.198611,0.155233,143000,184
-2.61773,-2.08332,-1.92445,0.0653474,6.60793,0.207111,0.156013,144000,187
-2.53337,-2.07069,-1.94932,0.0536183,6.72272,0.202367,0.153337,145000,190
-2.44085,-2.08207,-1.94461,0.0511106,6.66411,0.202653,0.153802,146000,193
-2.51803,-2.095,-1.93922,0.0594122,6.65473,0.204307,0.152463,147000,195
-2.47855,-2.09149,-1.95554,0.0553622,6.74917,0.201186,0.154465,148000,198
-2.53288,-2.06739,-1.92469,0.0522689,6.71083,0.202713,0.156048,149000,201
-2.47409,-2.11394,-1.98385,0.0558747,6.5884,0.204153,0.154602,150000,203
-2.48061,-2.05413,-1.97566,0.0465349,6.6886,0.207622,0.155609,151000,206
-2.58056,-2.11423,-1.97014,0.0634436,6.74908,0.205218,0.154784,152000,209
-2.54842,-2.09376,-1.9918,0.0632866,6.69659,0.20082,0.152228,153000,211
-2.49269,-2.0811,-1.93112,0.0567315,6.58536,0.203513,0.155653,154000,213
-2.4348,-2.10116,-1.93831,0.0489816,6.72005,0.203857,0.154281,155000,216
-2.44908,-2.10419,-1.95306,0.0520978,6.73965,0.203048,0.14969,156000,220
-2.60334,-2.07911,-1.97419,0.0575971,6.62924,0.200876,0.153506,157000,223
-2.50952,-2.08192,-1.99686,0.0643049,6.59877,0.202345,0.153388,158000,225
-2.52804,-2.08698,-1.95976,0.0587154,6.62368,0.204069,0.155974,159000,227
-2.57004,-2.08633,-1.9762,0.0579744,6.67616,0.201292,0.15048,160000,230
-2.54963,-2.10353,-1.95537,0.0612512,6.7554,0.20394,0.152703,161000,233
-2.48247,-2.09165,-1.945,0.059846,6.65782,0.20018,0.154071,162000,236
-2.48105,-2.09169,-1.98052,0.0597697,6.6002,0.2019,0.151909,163000,239
-2.41214,-2.09388,-1.98901,0.0511155,6.65518,0.207288,0.152355,164000,242
-2.46278,-2.08128,-1.93992,0.0524356,6.75723,0.202646,0.155167,165000,245
-2.46287,-2.11293,-1.97346,0.0516446,6.74587,0.205106,0.151868,166000,248
-2.45902,-2.10086,-1.95675,0.0502666,6.72665,0.203565,0.150937,167000,251
-2.44784,-2.10305,-1.97098,0.0507936,6.63226,0.202618,0.153318,168000,254
-2.44215,-2.09827,-1.95951,0.0526764,6.63191,0.203513,0.152177,169000,257
-2.41108,-2.07644,-1.97647,0.0507509,6.75265,0.203753,0.153693,170000,261
-2.36279,-2.06646,-1.92626,0.0426791,6.65561,0.20414,0.153153,171000,263
-2.42019,-2.10566,-1.98543,0.0560938,6.66359,0.205078,0.152056,172000,266
-2.40704,-2.07937,-1.94661,0.0494234,6.76056,0.202895,0.154156,173000,269
-2.45869,-2.08941,-1.93684,0.0454384,6.66349,0.202325,0.151666,174000,272
-2.37107,-2.08957,-1.95635,0.0459806,6.66178,0.201535,0.153952,175000,275
-2.41018,-2.10656,-1.97979,0.0503698,6.63593,0.206273,0.153294,176000,277
-2.3585,-2.07932,-1.94386,0.0484126,6.63763,0.202227,0.152789,177000,280
-2.48691,-2.09157,-1.97791,0.0524886,6.69608,0.201699,0.152415,178000,283
-2.41928,-2.08034,-1.98888,0.048918,6.57068,0.203151,0.15178,179000,286
-2.44513,-2.07831,-2.00295,0.0554908,6.68288,0.200417,0.154018,180000,288
-2.40678,-2.09079,-1.96247,0.0486917,6.64292,0.201226,0.152271,181000,290
-2.49483,-2.08999,-1.93617,0.0595855,6.63033,0.202204,0.154999,182000,294
-2.4547,-2.09581,-1.9632,0.0573948,6.66295,0.205031,0.154818,183000,297
-2.47882,-2.08551,-1.9788,0.0581571,6.64758,0.203185,0.153689,184000,299
-2.53063,-2.11788,-1.991,0.0587835,6.72297,0.200355,0.152795,185000,303
-2.41615,-2.09794,-1.96842,0.0485662,6.68769,0.201206,0.151398,186000,305
-2.49037,-2.10069,-1.93821,0.0526181,6.70406,0.200946,0.152622,187000,308
-2.47219,-2.0889,-2.00443,0.0573705,6.64055,0.198996,0.15072,188000,310
-2.47857,-2.10036,-1.9495,0.0541753,6.56854,0.202793,0.152876,189000,313
-2.53119,-2.12593,-1.9667,0.0553207,6.63226,0.201237,0.150991,190000,317
-2.42175,-2.12346,-1.96992,0.0559676,6.71193,0.197124,0.149544,191000,319
-2.51153,-2.0816,-1.98391,0.0576802,6.72668,0.204068,0.151721,192000,321
-2.4835,-2.11957,-1.99737,0.0597122,6.67802,0.204218,0.152251,193000,324
-2.52394,-2.08024,-1.99091,0.0562659,6.6373,0.20204,0.152658,194000,326
-2.46174,-2.0844,-1.96579,0.0511478,6.62461,0.20041,0.153078,195000,329
-2.56064,-2.11944,-1.9804,0.0593745,6.68968,0.203162,0.150814,196000,332
-2.51633,-2.10278,-1.99265,0.0617538,6.74591,0.203588,0.153164,197000,335
-2.55408,-2.09237,-1.9654,0.0572662,6.81354,0.201466,0.151851,198000,338
-2.41169,-2.1038,-1.97456,0.0490136,6.70952,0.203084,0.15041,199000,341
-2.5347,-2.11,-1.99157,0.0584838,6.72007,0.201928,0.150555,200000,344
-2.56199,-2.10355,-1.98023,0.0572485,6.72236,0.201372,0.148997,201000,346
-2.50801,-2.0936,-1.98719,0.0528194,6.75194,0.198909,0.154043,202000,348
-2.4898,-2.10942,-1.97712,0.0562313,6.70285,0.200321,0.152243,203000,351
-2.59909,-2.10574,-2.00001,0.0656796,6.5658,0.202979,0.150862,204000,354
-2.47162,-2.09021,-1.99361,0.0522245,6.70408,0.201066,0.153991,205000,358
-2.46067,-2.09849,-1.98327,0.0494408,6.60795,0.199984,0.150895,206000,361
-2.48979,-2.11184,-1.99123,0.0545805,6.71369,0.200407,0.150642,207000,364
-2.55763,-2.10562,-2.00302,0.0571489,6.63901,0.202295,0.151727,208000,367
-2.54678,-2.09612,-1.98981,0.0577684,6.55556,0.196071,0.151695,209000,370
